Species	Percent	Clade_reads	Direct_reads	Rank	TaxID
Streptococcus luteciae	  0.19	1032	1032	S	2759
Streptococcus anginosus	  0.03	174	174	S	2756
Streptococcus sobrinus	  0.02	132	132	S	2761
Streptococcus agalactiae	  0.01	58	58	S	2754
Streptococcus infantis	  0.01	50	50	S	2758
Streptococcus alactolyticus	  0.00	11	11	S	2755
Streptococcus equi	  0.00	2	2	S	2757
Lactobacillus iners	  0.10	543	543	S	2740
Lactobacillus reuteri	  0.01	80	80	S	2745
Lactobacillus agilis	  0.00	11	11	S	2734
Lactobacillus delbrueckii	  0.00	11	11	S	2737
Lactobacillus helveticus	  0.00	3	3	S	2739
Lactobacillus zeae	  0.00	2	2	S	2749
Lactobacillus coleohominis	  0.00	1	1	S	2736
Lactobacillus mucosae	  0.00	1	1	S	2742
Lactobacillus vaginalis	  0.00	1	1	S	2748
Enterococcus haemoperoxidus	  0.00	3	3	S	2729
Tetragenococcus halophilus	  0.00	1	1	S	2731
Alloiococcus otitis	  0.00	1	1	S	2723
Staphylococcus aureus	  1.42	7678	7678	S	2714
Staphylococcus epidermidis	  0.73	3940	3940	S	2715
Staphylococcus sciuri	  0.01	44	44	S	2720
Staphylococcus lugdunensis	  0.00	7	7	S	2718
Staphylococcus haemolyticus	  0.00	3	3	S	2717
Staphylococcus equorum	  0.00	2	2	S	2716
Macrococcus caseolyticus	  0.00	6	6	S	2713
Bacillus firmus	  0.01	51	51	S	2664
Bacillus marisflavi	  0.01	45	45	S	2673
Bacillus flexus	  0.01	30	30	S	2665
Bacillus muralis	  0.00	10	10	S	2674
Bacillus coagulans	  0.00	8	8	S	2660
Bacillus longiquaesitum	  0.00	7	7	S	2672
Bacillus selenatarsenatis	  0.00	6	6	S	2677
Bacillus clausii	  0.00	3	3	S	2659
Bacillus endophyticus	  0.00	2	2	S	2662
Anoxybacillus kestanbolensis	  0.00	13	13	S	2655
Lysinibacillus boronitolerans	  0.00	8	8	S	2708
Clostridium perfringens	  0.38	2066	2066	S	2770
Clostridium butyricum	  0.10	522	522	S	2765
Clostridium bowmanii	  0.05	274	274	S	2764
Clostridium neonatale	  0.03	141	141	S	2768
Clostridium subterminale	  0.01	61	61	S	2772
Clostridium acetobutylicum	  0.00	4	4	S	2763
Clostridium tetani	  0.00	2	2	S	2773
Clostridium hiranonis	  0.00	1	1	S	2766
Clostridium intestinale	  0.00	1	1	S	2767
Clostridium pasteurianum	  0.00	1	1	S	2769
Desulfosporosinus meridiei	  0.00	1	1	S	2785
[Eubacterium] biforme	  0.00	1	1	S	2814
Actinomyces hyovaginalis	  0.00	7	7	S	2488
Propionibacterium acnes	  2.26	12229	12229	S	2556
Propionibacterium granulosum	  0.00	1	1	S	2557
Arthrobacter crystallopoietes	  0.00	2	2	S	2529
Corynebacterium durum	  0.00	1	1	S	2499
Actinomadura vinacea	  0.00	3	3	S	2577
Bifidobacterium adolescentis	  0.00	1	1	S	2579
Neisseria cinerea	  5.75	31115	31115	S	2922
Neisseria subflava	  0.00	1	1	S	2923
Conchiformibius kuhniae	  0.00	8	8	S	2920
Acinetobacter lwoffii	  0.01	30	30	S	3014
Acinetobacter rhizosphaerae	  0.00	16	16	S	3015
Acinetobacter johnsonii	  0.00	5	5	S	3013
Acinetobacter schindleri	  0.00	5	5	S	3016
Acinetobacter venetianus	  0.00	3	3	S	3017
Acinetobacter guillouiae	  0.00	1	1	S	3012
Pseudomonas stutzeri	  0.00	6	6	S	3029
Pseudomonas citronellolis	  0.00	1	1	S	3026
Pseudomonas nitroreducens	  0.00	1	1	S	3028
Pseudomonas veronii	  0.00	1	1	S	3031
Serratia marcescens	  0.00	3	3	S	2987
Salmonella enterica	  0.00	1	1	S	2986
Roseomonas mucosa	  0.00	3	3	S	2870
Bacteroides fragilis	  0.01	48	48	S	2596
Bacteroides uniformis	  0.01	43	43	S	2599
Bacteroides caccae	  0.00	22	22	S	2592
Bacteroides eggerthii	  0.00	7	7	S	2595
Bacteroides plebeius	  0.00	3	3	S	2598
Bacteroides ovatus	  0.00	2	2	S	2597
Prevotella copri	  0.00	17	17	S	2604
Prevotella melaninogenica	  0.00	16	16	S	2606
Prevotella stercorea	  0.00	9	9	S	2611
Parabacteroides distasonis	  0.00	7	7	S	2601
[Prevotella] tannerae	  0.00	14	14	S	2612
Akkermansia muciniphila	  0.00	3	3	S	3088
