Species	Percent	Clade_reads	Direct_reads	Rank	TaxID
Streptococcus luteciae	0.19	1032	1032	S	2759
Streptococcus anginosus	0.03	174	174	S	2756
Streptococcus sobrinus	0.02	132	132	S	2761
Streptococcus agalactiae	0.01	58	58	S	2754
Streptococcus infantis	0.01	50	50	S	2758
Streptococcus alactolyticus	0.0	11	11	S	2755
Lactobacillus iners	0.1	543	543	S	2740
Lactobacillus reuteri	0.01	80	80	S	2745
Lactobacillus agilis	0.0	11	11	S	2734
Lactobacillus delbrueckii	0.0	11	11	S	2737
Staphylococcus aureus	1.42	7678	7678	S	2714
Staphylococcus epidermidis	0.73	3940	3940	S	2715
Staphylococcus sciuri	0.01	44	44	S	2720
Bacillus firmus	0.01	51	51	S	2664
Bacillus marisflavi	0.01	45	45	S	2673
Bacillus flexus	0.01	30	30	S	2665
Bacillus muralis	0.0	10	10	S	2674
Anoxybacillus kestanbolensis	0.0	13	13	S	2655
Clostridium perfringens	0.38	2066	2066	S	2770
Clostridium butyricum	0.1	522	522	S	2765
Clostridium bowmanii	0.05	274	274	S	2764
Clostridium neonatale	0.03	141	141	S	2768
Clostridium subterminale	0.01	61	61	S	2772
Propionibacterium acnes	2.26	12229	12229	S	2556
Neisseria cinerea	5.75	31115	31115	S	2922
Acinetobacter lwoffii	0.01	30	30	S	3014
Acinetobacter rhizosphaerae	0.0	16	16	S	3015
Bacteroides fragilis	0.01	48	48	S	2596
Bacteroides uniformis	0.01	43	43	S	2599
Bacteroides caccae	0.0	22	22	S	2592
Prevotella copri	0.0	17	17	S	2604
Prevotella melaninogenica	0.0	16	16	S	2606
[Prevotella] tannerae	0.0	14	14	S	2612
