Species	Percent	Clade_reads	Direct_reads	Rank	TaxID
Bacillus marisflavi	  0.01	40	40	S	2673
Bacillus firmus	  0.01	22	22	S	2664
Bacillus flexus	  0.00	7	7	S	2665
Bacillus longiquaesitum	  0.00	6	6	S	2672
Bacillus muralis	  0.00	5	5	S	2674
Bacillus endophyticus	  0.00	4	4	S	2662
Bacillus coagulans	  0.00	3	3	S	2660
Bacillus thermoamylovorans	  0.00	1	1	S	2678
Bacillus selenatarsenatis	  0.00	1	1	S	2677
Anoxybacillus kestanbolensis	  0.00	10	10	S	2655
Staphylococcus aureus	  0.17	565	565	S	2714
Staphylococcus epidermidis	  0.13	421	421	S	2715
Staphylococcus sciuri	  0.01	22	22	S	2720
Staphylococcus haemolyticus	  0.00	1	1	S	2717
Lysinibacillus boronitolerans	  0.00	4	4	S	2708
Streptococcus luteciae	  0.03	108	108	S	2759
Streptococcus sobrinus	  0.00	13	13	S	2761
Streptococcus infantis	  0.00	12	12	S	2758
Streptococcus anginosus	  0.00	9	9	S	2756
Streptococcus agalactiae	  0.00	4	4	S	2754
Streptococcus alactolyticus	  0.00	3	3	S	2755
Lactobacillus iners	  0.06	189	189	S	2740
Lactobacillus reuteri	  0.01	27	27	S	2745
Lactobacillus vaginalis	  0.00	5	5	S	2748
Lactobacillus delbrueckii	  0.00	3	3	S	2737
Lactobacillus agilis	  0.00	1	1	S	2734
Lactobacillus ruminis	  0.00	1	1	S	2746
Lactobacillus mucosae	  0.00	1	1	S	2742
Tetragenococcus halophilus	  0.00	2	2	S	2731
Alloiococcus otitis	  0.00	1	1	S	2723
Clostridium perfringens	  1.11	3626	3626	S	2770
Clostridium butyricum	  0.26	851	851	S	2765
Clostridium bowmanii	  0.14	462	462	S	2764
Clostridium neonatale	  0.07	217	217	S	2768
Clostridium subterminale	  0.03	84	84	S	2772
Clostridium acetobutylicum	  0.00	7	7	S	2763
Clostridium intestinale	  0.00	3	3	S	2767
Clostridium tetani	  0.00	1	1	S	2773
Faecalibacterium prausnitzii	  0.00	1	1	S	2788
[Eubacterium] biforme	  0.00	11	11	S	2814
[Eubacterium] cylindroides	  0.00	1	1	S	2815
Bulleidia p-1630-c5	  0.00	1	1	S	2809
Neisseria cinerea	 16.83	55080	55080	S	2922
Neisseria subflava	  0.00	5	5	S	2923
Conchiformibius kuhniae	  0.00	4	4	S	2920
Acinetobacter lwoffii	  0.03	84	84	S	3014
Acinetobacter johnsonii	  0.00	15	15	S	3013
Acinetobacter schindleri	  0.00	15	15	S	3016
Acinetobacter rhizosphaerae	  0.00	11	11	S	3015
Acinetobacter venetianus	  0.00	8	8	S	3017
Acinetobacter guillouiae	  0.00	5	5	S	3012
Pseudomonas stutzeri	  0.00	11	11	S	3029
Pseudomonas nitroreducens	  0.00	1	1	S	3028
Pseudomonas veronii	  0.00	1	1	S	3031
Pseudomonas viridiflava	  0.00	1	1	S	3032
Serratia marcescens	  0.00	1	1	S	2987
Salmonella enterica	  0.00	1	1	S	2986
Haemophilus parainfluenzae	  0.00	1	1	S	3010
Helicobacter pylori	  0.00	1	1	S	2950
Porphyromonas endodontalis	  0.00	7	7	S	2603
Parabacteroides distasonis	  0.00	2	2	S	2601
Bacteroides uniformis	  0.00	1	1	S	2599
Prevotella stercorea	  0.01	34	34	S	2611
Prevotella copri	  0.00	9	9	S	2604
Prevotella melaninogenica	  0.00	1	1	S	2606
[Prevotella] tannerae	  0.00	1	1	S	2612
Actinomyces europaeus	  0.00	1	1	S	2487
Propionibacterium acnes	  0.64	2092	2092	S	2556
Corynebacterium durum	  0.00	10	10	S	2499
Corynebacterium kroppenstedtii	  0.00	1	1	S	2500
Pilimelia terevasa	  0.00	1	1	S	2540
Actinomadura vinacea	  0.00	1	1	S	2577
Akkermansia muciniphila	  0.00	2	2	S	3088
